TIMESTAMP: 14.500000, X: 6.450496, Y: -3.646772, Z: -2.256246, PITCH: 0.763072, YAW: 2.133396
TIMESTAMP: 14.600000, X: 6.588764, Y: -3.632634, Z: -2.171600, PITCH: 0.755543, YAW: 2.144593
TIMESTAMP: 14.700000, X: 6.730609, Y: -3.617160, Z: -2.089093, PITCH: 0.748010, YAW: 2.155811
TIMESTAMP: 14.800000, X: 6.875762, Y: -3.600593, Z: -2.008512, PITCH: 0.740465, YAW: 2.167037
TIMESTAMP: 14.900000, X: 7.023942, Y: -3.583171, Z: -1.929615, PITCH: 0.732960, YAW: 2.178197
TIMESTAMP: 15.000000, X: 7.174854, Y: -3.565120, Z: -1.852146, PITCH: 0.725457, YAW: 2.189357
TIMESTAMP: 15.100000, X: 7.328195, Y: -3.546657, Z: -1.775831, PITCH: 0.717862, YAW: 2.200659
TIMESTAMP: 15.200000, X: 7.483655, Y: -3.527986, Z: -1.700387, PITCH: 0.710266, YAW: 2.211960
TIMESTAMP: 15.300000, X: 7.640921, Y: -3.509297, Z: -1.625521, PITCH: 0.702877, YAW: 2.222951
TIMESTAMP: 15.400000, X: 7.799678, Y: -3.490767, Z: -1.550942, PITCH: 0.695550, YAW: 2.233851
TIMESTAMP: 15.500000, X: 7.959609, Y: -3.472555, Z: -1.476357, PITCH: 0.687748, YAW: 2.245459
TIMESTAMP: 15.600000, X: 8.120404, Y: -3.454805, Z: -1.401480, PITCH: 0.679194, YAW: 2.258184
TIMESTAMP: 15.700000, X: 8.281754, Y: -3.437645, Z: -1.326034, PITCH: 0.670258, YAW: 2.271478
TIMESTAMP: 15.800000, X: 8.443360, Y: -3.421185, Z: -1.249754, PITCH: 0.661438, YAW: 2.284599
TIMESTAMP: 15.900000, X: 8.604930, Y: -3.405521, Z: -1.172391, PITCH: 0.652785, YAW: 2.297473
TIMESTAMP: 16.000000, X: 8.766185, Y: -3.390729, Z: -1.093713, PITCH: 0.644087, YAW: 2.310413
TIMESTAMP: 16.100000, X: 8.926858, Y: -3.376874, Z: -1.013510, PITCH: 0.635305, YAW: 2.323477
